;PGC;OBJNAME;ID_NED;ID_NEDD;ID_IRAS;ID_2MASS;SDSS_PHOTID;SDSS_SPECID;RA;DEC;F_ASTROM;R1;R2;PA;RSOURCE;RFLAG;T;E_T;INCL;V;E_V;V_VIR;E_V_VIR;NDIST;EDIST;D;E_D;D_LO68;D_HI68;D_LO95;D_HI95;DMETHOD;UT;BT;VT;IT;E_UT;E_BT;E_VT;E_IT;AG;AI;S12;S25;S60;S100;Q12;Q25;Q60;Q100;WF1;WF2;WF3;WF4;E_WF1;E_WF2;E_WF3;E_WF4;WFPOINT;WFTREAT;J;H;K;E_J;E_H;E_K;FLAG_2MASS;U;G;R;I;Z;E_U;E_G;E_R;E_I;E_Z;logL_TIR;logL_FIR;logL_60u;logL_12u;logL_22u;logL_K;ML_RATIO;logSFR_TIR;logSFR_FIR;logSFR_60u;logSFR_12u;logSFR_22u;logSFR_HEC;FLAG_SFR_HEC;logM_HEC;logSFR_GSW;logM_GSW;MIN_SNR;METAL;FLAG_METAL;CLASS_SP;AGN_S17;AGN_HEC
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Measurement Classification 1;Identification;Identification;Identification;Identification;Identification;Identification;Identification;Identification;Right Ascension;Declination;Astrometric Precision Flag;D25 semi-major axis ;D25 semi-minor axis;D25 positional angle, North-to-Northeast;Source of the galaxy-size information flag;Galaxy-size information flag;Numerical Hubble-type;Numerical Hubble-type Error;Inclination;Heliocentric radial velocity;Heliocentric radial velocity error;Virgo-infall corrected radial velocity;Virgo-infall corrected radial velocity error;Number of redshift-independent measurements in NED-D;NED-D has uncertainties flag;Distance;Distance Error;Distance Lower bound of the 68% confidence interval ;Distance Upper bound of the 68% confidence interval ;Distance Lower bound of the 95% confidence interval ;Distance Upper bound of the 95% confidence interval ;Distance Estimation Method Flag;Total U-band apparent magnitude;Total B-band apparent magnitude;Total V-band apparent magnitude;Total I-band apparent magnitude;Total U-band apparent magnitude error;Total B-band apparent magnitude error;Total V-band apparent magnitude error;Total I-band apparent magnitude error;Galactic absorption in B-band;Intrinsic absorption in B-band;12μm-band flux from IRAS;25μm-band flux from IRAS;60μm-band flux from IRAS;100μm-band flux from IRAS;Quality flag for the 12μm-band flux from IRAS;Quality flag for the 25μm-band flux from IRAS;Quality flag for the 60μm-band flux from IRAS;Quality flag for the 100μm-band flux from IRAS;3.3μm-band (W1) apparent magnitude in the WISE forced photometry catalog;4.6μm-band (W1) apparent magnitude in the WISE forced photometry catalog;12μm-band (W1) apparent magnitude in the WISE forced photometry catalog;22μm-band (W1) apparent magnitude in the WISE forced photometry catalog;error of 3.3μm-band (W1) apparent magnitude in the WISE forced photometry catalog;error of 4.6μm-band (W1) apparent magnitude in the WISE forced photometry catalog;error of 12μm-band (W1) apparent magnitude in the WISE forced photometry catalog;error of 22μm-band (W1) apparent magnitude in the WISE forced photometry catalog;Is point source in the WISE forced photometry catalog.;Treated as point source in the WISE forced photometry catalog.;J-band apparent magnitude in 2MASS;H-band apparent magnitude in 2MASS;K-band apparent magnitude in 2MASS;Error of J-band apparent magnitude in 2MASS ;Error of H-band apparent magnitude in 2MASS;Error of K-band apparent magnitude in 2MASS;Source of the 2MASS ID and magnitudes flag;u-band SDSS apparent magnitude;g-band SDSS apparent magnitude;r-band SDSS apparent magnitude;i-band SDSS apparent magnitude;z-band SDSS apparent magnitude;Error of u-band SDSS apparent magnitude;Error of g-band SDSS apparent magnitude;Error of r-band SDSS apparent magnitude;Error of i-band SDSS apparent magnitude;Error of z-band SDSS apparent magnitude;Decimal logarithm of the total-infrared (TIR) luminosity;Decimal logarithm of the far-infrared (FIR) luminosity in solar luminosities.;Decimal logarithm of the 60um-band luminosity in solar luminosities.;Decimal logarithm of the 12um-band luminosity in solar luminosities.;Decimal logarithm of the 22um-band luminosity in solar luminosities.;Decimal logarithm of the K-band luminosity in solar luminosities.;Mass-to-light ratio for the 2MASS K-band using SDSS g-r colour (Bell et al. 2003).;Decimal logarithm of the TIR-based star-formation rate in solar masses per year.;Decimal logarithm of the FIR-based star-formation rate in solar masses per year.;Decimal logarithm of the 60um-based star-formation rate in solar masses per year.;Decimal logarithm of the 12um-based star-formation rate in solar masses per year.;Decimal logarithm of the 22um-based star-formation rate in solar masses per year.;Decimal logarithm of the homogenised star-formation rate in solar masses per year.;Flag indicating the source of the photometry and the SFR indicator used in the homogenised SFR: RT=IRAS-RBGS photometry and TIR indicator;Decimal logarithm of the total stellar mass in solar masses.;Decimal logarithm of the SED-based star-formation rate from the GSWLC-2 in solar masses per year.;Decimal logarithm of the SED-based stellar mass from the GSWLC-2 in solar masses.;Minimum signal-to-noise ratio of the emission lines used for the activity classification (class_sp).;12+log(O/H) gas-phase metallicity.;Metallicity flag;Nuclear activity classification;AGN classification;Adopted activity classification based on the combination of class_sp and agn_s17
Measurement Classification 2;-;-;-;-;-;-;-;-;-;-;Flag;-;-;-;Flag;Flag;-;Error;-;-;Error;-;Error;-;Flag;-;Error;-;-;-;-;Flag;U Magnitude;B Magnitude;V Magnitude;I Magnitude;Error;Error;Error;Error;Absorption;Absorption;flux;flux;flux;flux;flag;flag;flag;flag;Magnitude;Magnitude;Magnitude;Magnitude;Error;Error;Error;Error;Flag;Flag;J Magnitude;H Magnitude;K Magnitude;Error;Error;Error;Flag;U Magnitude;G Magnitude;R Magnitude;I Magnitude;Z Magnitude;Error;Error;Error;Error;Error;luminosity logarithm;luminosity logarithm;luminosity logarithm;luminosity logarithm;luminosity logarithm;luminosity logarithm;Ratio;Star Formation Rate;Star Formation Rate;Star Formation Rate;Star Formation Rate;Star Formation Rate;Star Formation Rate;Flag;Stellar Mass Logarithm;Star Formation Rate;Stellar Mass Logarithm;Ratio;-;Flag;Classification;Classification;Classification
Measurement Classification 3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Magnitude;Magnitude;Magnitude;Magnitude;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Magnitude;Magnitude;Magnitude;-;-;-;-;Magnitude;Magnitude;Magnitude;Magnitude;Magnitude;-;-;-;-;-;luminosity;luminosity;luminosity;luminosity;luminosity;luminosity;-;Star Formation Rate Logarithm;Star Formation Rate Logarithm;Star Formation Rate Logarithm;Star Formation Rate Logarithm;Star Formation Rate Logarithm;Star Formation Rate Logarithm;-;Stellar Mass;Star Formation Rate Logarithm;Stellar Mass;-;-;-;Flag;Flag;Flag
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estimation Method;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;de Vaucouleurs et al. 1976 system;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Stampoulis et al. 2019;She et al. 2017;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Measurement Unit;-;-;-;-;-;-;-;-;degrees;degrees;-;arcmin;arcmin;degrees;-;-;-;-;degrees;km per sec;km per sec;km per sec;km per sec;-;-;Mpc;Mpc;Mpc;Mpc;Mpc;Mpc;-;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;Jy;Jy;Jy;Jy;-;-;-;-;mag;mag;mag;mag;mag;mag;mag;mag;-;-;mag;mag;mag;mag;mag;mag;-;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;log10 of solar luminosity;log10 of solar luminosity;log10 of solar luminosity;log10 of solar luminosity;log10 of solar luminosity;log10 of solar luminosity;-;log10 solar masses per year;log10 solar masses per year;log10 solar masses per year;log10 solar masses per year;log10 solar masses per year;log10 solar masses per year;-;log10 solar masses;log10 solar masses per year;log10 solar masses;-;-;-;-;-;-
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flag translation;;;;;;;;;;;Error for RA and error for DEC : +-2.78e^(-4 + flag_value);;;;H=HyperLEDA, S=SDSS, 2=2MASS, 6=2dFGS, W=WINGS, Y=SkyMapper, A=Amiga-CIG, K=UNGC, V=VIII/77, 1=KKH2001, 7=KKH2007, N=NED.;Galaxy-size information flag: 0=missing, 1=all axes and positional angle defined, 2=r2 and/or pa were missing and they were set equal to r1 and 0 (circular isophote);;;;;;;;;0 - measurement contains uncertainties. 1 - measurement does not contain uncertainties.;;;;;;;N=using NED-D distance measurements, Z=regression, Zv=regression for Virgo Cluster members, C=distance from NED-D measurements but uncertainty from regression, Cv=distance from NED-D measurements but uncertainty from Virgo Cluster regressor.;;;;;;;;;;;;;;;0=not in IRAS, 1=upper limit, 2=moderate, 3=high, 4=flux from IRAS-RBGS.;0=not in IRAS, 1=upper limit, 2=moderate, 3=high, 4=flux from IRAS-RBGS.;0=not in IRAS, 1=upper limit, 2=moderate, 3=high, 4=flux from IRAS-RBGS.;0=not in IRAS, 1=upper limit, 2=moderate, 3=high, 4=flux from IRAS-RBGS.;;;;;;;;;True if point source in the WISE forced photometry catalog.;True if treated as point source in the WISE forced photometry catalog.;;;;;;; 0=none, 1=LGA, 2=XSC, 3=PSC.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1=missing, 0=reliable, 1=O3N2 ratio >2 (outside the PP04 range), 2=low signal-to-noise ratio (<3 for the weakest line).;0=star-forming, 1=Seyfert, 2=LINER, 3=composite, -1=unknown.;Y=AGN, N=non-AGN, ?=unknown;Y=AGN, N=non-AGN, ?=unknown
Type;id;id;id;id;id;id;id;id;gen;gen;flag;gen;gen;gen;flag;flag;gen;err;gen;gen;err;gen;err;gen;flag;gen;err;ci;ci;ci;ci;flag;gen;gen;gen;gen;err;err;err;err;gen;gen;gen;gen;gen;gen;flag;flag;flag;flag;gen;gen;gen;gen;err;err;err;err;flag;flag;gen;gen;gen;err;err;err;flag;gen;gen;gen;gen;gen;err;err;err;err;err;gen;gen;gen;gen;gen;gen;gen;gen;gen;gen;gen;gen;gen;flag;gen;gen;gen;gen;gen;flag;flag;flag;flag